iter	Passed	Remaining
0	48	4808
1	49	2404
2	49	1596
3	49	1192
4	49	949
5	50	785
6	50	669
7	50	583
8	51	518
9	51	464
10	51	420
11	52	383
12	52	351
13	52	324
14	53	301
15	53	281
16	53	262
17	54	246
18	54	231
19	54	218
20	54	206
21	55	195
22	55	185
23	55	176
24	56	168
25	56	160
26	56	153
27	56	146
28	56	139
29	57	133
30	57	128
31	57	122
32	57	117
33	58	112
34	58	108
35	58	104
36	58	100
37	59	96
38	59	92
39	59	89
40	59	85
41	60	82
42	60	80
43	60	77
44	61	74
45	61	72
46	61	69
47	62	67
48	62	65
49	62	62
50	63	60
51	63	58
52	63	56
53	63	54
54	63	52
55	64	50
56	64	48
57	64	46
58	64	44
59	64	43
60	65	41
61	65	40
62	65	38
63	66	37
64	66	35
65	66	34
66	67	33
67	67	31
68	67	30
69	67	29
70	68	27
71	68	26
72	68	25
73	68	24
74	69	23
75	69	21
76	69	20
77	69	19
78	70	18
79	70	17
80	70	16
81	70	15
82	71	14
83	71	13
84	71	12
85	72	11
86	72	10
87	72	9
88	72	9
89	73	8
90	73	7
91	73	6
92	73	5
93	74	4
94	74	3
95	74	3
96	74	2
97	75	1
98	75	0
99	75	0
