winp_last5_categorized,has_good_bowlers,has_good_batsman,usual_wins,experience_score
0,1,0,0,0
0,1,2,1,0
2,2,2,1,1
2,1,2,1,0
0,1,2,0,1
2,1,2,1,1
0,1,2,0,0
2,0,2,0,1
1,1,2,1,1
1,2,2,1,1
2,2,2,1,0
2,0,1,1,1
2,1,2,0,1
2,0,2,1,1
0,1,1,1,0
1,1,2,1,0
2,1,2,0,1
1,2,2,0,0
2,1,1,0,0
2,1,2,1,0
2,1,2,0,0
1,1,2,1,0
0,2,2,0,0
2,1,2,0,0
2,2,1,0,0
2,2,2,0,0
0,0,0,0,0
1,0,0,0,1
2,2,2,1,1
2,2,2,1,1
0,1,1,1,1
1,1,2,1,1
1,1,1,1,1
2,1,2,0,0
2,2,2,1,1
1,1,2,1,1
2,2,1,1,1
0,1,2,0,1
2,0,1,1,0
2,1,2,1,1
1,1,2,1,1
2,2,2,0,0
2,2,2,1,1
2,2,2,1,0
2,0,1,1,1
2,2,2,0,0
0,2,1,0,0
2,2,2,1,0
2,1,2,1,1
2,2,2,0,0
2,0,1,0,1
2,1,2,1,1
2,1,2,0,1
2,2,2,0,0
2,1,2,0,1
2,1,2,0,1
2,2,2,0,0
2,2,2,0,1
2,1,2,0,0
2,2,2,0,1
1,1,2,0,1
2,1,2,1,1
2,0,2,1,1
2,2,2,0,1
2,0,2,0,1
2,2,2,1,0
2,1,2,1,1
2,2,1,0,0
2,2,2,1,1
2,2,2,1,0
2,1,2,0,1
2,1,2,1,0
2,0,0,1,0
2,2,2,0,0
2,2,1,1,0
2,1,2,0,0
2,2,2,0,1
0,1,1,0,0
1,2,2,0,0
2,2,2,0,0
2,1,2,1,1
0,1,2,1,0
2,2,2,0,1
2,1,1,0,0
2,1,2,1,1
2,1,2,0,0
2,1,2,0,1
2,1,2,1,1
1,1,2,1,1
2,0,0,0,1
2,0,2,0,1
2,2,2,0,0
2,2,2,0,0
0,1,2,0,0
2,1,2,0,1
2,2,2,1,0
0,2,1,1,0
2,1,1,0,0
1,0,0,1,0
0,2,2,0,1
2,0,2,0,1
2,1,2,1,1
2,0,1,0,1
2,2,2,0,0
1,2,2,1,1
2,0,2,0,1
2,1,2,1,1
2,2,2,0,1
2,2,2,1,1
2,2,2,1,0
1,1,2,0,1
0,1,2,1,0
2,1,2,1,1
2,2,2,1,0
2,1,2,0,0
2,1,2,0,1
0,1,2,0,0
1,1,1,0,1
0,2,2,1,1
1,0,0,1,0
0,2,2,0,0
2,2,2,1,0
1,1,2,1,1
2,0,2,0,1
2,2,2,1,1
0,1,2,0,1
2,0,0,1,0
2,1,2,0,0
0,1,0,0,0
2,0,2,1,0
2,1,2,1,1
2,2,2,1,0
1,0,2,1,1
1,2,2,1,1
0,1,1,1,0
0,2,2,0,1
0,2,2,0,0
2,0,1,0,1
0,1,1,0,0
2,2,2,1,0
2,0,0,1,0
2,1,2,1,1
2,1,2,0,1
2,2,2,0,0
1,0,2,0,1
1,0,2,1,1
2,1,2,1,1
2,1,2,0,1
2,2,2,0,0
0,1,2,0,1
0,0,2,1,1
2,2,2,1,1
0,2,2,0,0
2,1,2,0,1
1,2,2,0,0
2,1,2,1,0
2,1,2,0,1
2,1,2,0,1
1,1,2,1,1
1,2,2,1,0
2,1,2,1,1
1,1,2,0,1
2,1,2,0,1
0,1,2,1,1
1,2,2,1,0
2,1,0,1,0
2,1,2,1,1
2,1,2,0,1
1,0,2,0,0
2,1,2,0,1
0,2,2,0,0
2,0,1,1,1
1,0,0,0,1
1,1,2,0,1
2,2,2,0,0
2,1,2,1,0
0,0,0,0,0
2,2,2,0,1
1,1,2,1,0
2,2,2,0,0
2,1,1,1,1
2,1,2,0,1
2,2,2,0,0
2,1,2,0,1
2,2,2,0,1
0,1,0,0,0
2,2,2,0,0
0,2,0,0,0
2,2,2,0,1
2,2,2,1,0
2,2,2,0,1
2,0,1,0,0
0,2,2,1,1
2,1,2,0,1
2,2,2,1,1
1,0,0,1,0
0,2,1,0,0
2,0,0,0,0
2,2,2,1,1
1,1,1,0,0
2,2,2,0,0
2,1,2,1,1
2,2,2,0,0
1,1,2,1,0
2,1,1,0,0
2,2,2,1,1
1,2,2,0,0
2,1,1,1,1
1,1,2,1,1
2,2,2,0,1
1,0,1,0,1
2,1,2,1,1
2,2,2,1,0
0,2,2,0,0
2,1,2,0,0
0,2,2,1,0
2,2,2,0,0
2,1,2,1,0
1,1,2,0,1
2,2,2,0,0
2,0,1,0,0
1,1,2,0,0
2,1,2,0,0
2,0,2,0,1
2,1,2,1,0
2,1,1,0,1
1,1,2,1,1
1,2,2,0,1
2,1,2,0,1
2,1,2,0,0
0,1,2,0,1
2,1,2,1,1
2,1,2,0,0
2,2,2,1,0
0,1,2,0,1
1,0,0,1,0
1,0,1,0,1
1,1,2,0,0
2,1,2,1,0
2,1,1,1,0
2,1,1,1,1
1,2,2,0,1
2,1,2,0,1
2,1,2,1,0
2,2,2,0,0
0,1,2,0,0
2,1,2,1,1
2,1,2,1,0
2,0,0,0,1
2,2,2,1,0
0,2,2,0,0
2,1,1,1,0
2,2,2,0,0
2,1,2,0,1
0,1,1,0,1
2,2,2,1,0
2,2,2,1,1
1,0,0,0,1
2,1,2,1,1
2,1,2,0,1
2,0,0,0,0
2,1,1,1,1
2,2,2,1,0
2,1,1,0,1
1,2,2,1,0
1,1,2,0,1
1,2,2,1,0
2,2,2,0,0
1,0,2,0,1
2,1,2,1,1
2,2,2,1,1
