iter	Logloss
0	0.6866104629
1	0.6800759284
2	0.675942138
3	0.6692654117
4	0.6651112064
5	0.6615380088
6	0.6545553522
7	0.6471861116
8	0.645764571
9	0.6394856631
10	0.6349868774
11	0.6282978267
12	0.6242438935
13	0.6193333301
14	0.6141571213
15	0.6106977358
16	0.6052838839
17	0.6010485219
18	0.5952287192
19	0.5926439893
20	0.5898702433
21	0.5858389047
22	0.5823466123
23	0.5777877975
24	0.5742405483
25	0.5714010302
26	0.5668284657
27	0.5618284456
28	0.5570264544
29	0.5539510538
30	0.5488147945
31	0.5436806731
32	0.5408622826
33	0.5392425034
34	0.5368993571
35	0.5351782159
36	0.531692421
37	0.5285086579
38	0.5250258813
39	0.5198154659
40	0.5162441547
41	0.5132276095
42	0.5118215372
43	0.5085849972
44	0.506779765
45	0.5001130156
46	0.4982747508
47	0.4960109166
48	0.4907199734
49	0.4885399368
50	0.4862067254
51	0.4835798243
52	0.4792934879
53	0.4757546645
54	0.4729098645
55	0.469156915
56	0.4668304946
57	0.4633330041
58	0.459325476
59	0.4568653735
60	0.4541242411
61	0.4518160977
62	0.4487099281
63	0.4450785459
64	0.4426114428
65	0.4398721967
66	0.4365439363
67	0.4327883039
68	0.4268006545
69	0.4236393184
70	0.4211784614
71	0.4195635869
72	0.4163045359
73	0.4139786186
74	0.4117755261
75	0.4078807202
76	0.4047840663
77	0.4023217421
78	0.3978757753
79	0.3959388314
80	0.3920916882
81	0.3897311871
82	0.3885197901
83	0.3841849526
84	0.3805820759
85	0.3783178225
86	0.3766855093
87	0.3726797837
88	0.371015905
89	0.3686074896
90	0.3662901239
91	0.3639315092
92	0.3591901339
93	0.3572079166
94	0.3539406493
95	0.3522808788
96	0.3491970104
97	0.3447595324
98	0.3427309309
99	0.3410617493
