iter	Passed	Remaining
0	3	394
1	7	345
2	9	316
3	12	310
4	16	316
5	19	309
6	22	300
7	25	298
8	28	293
9	32	295
10	35	288
11	38	285
12	41	279
13	45	279
14	49	280
15	52	276
16	55	272
17	59	270
18	63	269
19	67	271
20	71	267
21	74	264
22	79	265
23	83	263
24	86	259
25	89	254
26	92	250
27	96	246
28	99	242
29	102	240
30	107	239
31	110	235
32	113	231
33	137	267
34	140	261
35	149	264
36	151	258
37	154	251
38	156	244
39	159	239
40	162	234
41	165	228
42	167	222
43	170	216
44	172	210
45	175	205
46	179	202
47	181	196
48	184	191
49	186	186
50	189	181
51	192	177
52	196	173
53	198	168
54	200	164
55	203	159
56	206	155
57	211	152
58	213	148
59	216	144
60	219	140
61	221	135
62	224	132
63	228	128
64	230	124
65	233	120
66	235	116
67	238	112
68	242	109
69	245	105
70	247	101
71	250	97
72	252	93
73	255	89
74	259	86
75	262	82
76	264	79
77	266	75
78	269	71
79	272	68
80	275	64
81	278	61
82	280	57
83	282	53
84	285	50
85	288	46
86	292	43
87	294	40
88	297	36
89	299	33
90	302	29
91	305	26
92	308	23
93	311	19
94	313	16
95	315	13
96	318	9
97	322	6
98	324	3
99	327	0
